title,year_text,price,mileage,Գին_USD,Տարեթիվ,Վազք,Մակնիշ,Մեքենայի_տարիք
Cadillac ELR,2014,$ 13 000,152000 մղոն,13000.0,2014.0,152000.0,Cadillac,11.0
Toyota Camry,2013,$ 14 300,132000 մղոն,14300.0,2013.0,132000.0,Toyota,12.0
Infiniti QX80,2015,$ 33 000,200000 կմ,33000.0,2015.0,200000.0,Infiniti,10.0
Cadillac XT5,2018,$ 33 700,10946 կմ,33700.0,2018.0,10946.0,Cadillac,7.0
Mercedes-Benz ML 350,2009,$ 15 500,263500 կմ,15500.0,2009.0,263500.0,Mercedes-Benz,16.0
Arcfox Alpha T,2025,$ 16 800,100 կմ,16800.0,2025.0,100.0,Arcfox,0.0
Toyota Rav 4,2021,$ 28 500,38000 կմ,28500.0,2021.0,38000.0,Toyota,4.0
Toyota Rav 4,2021,$ 32 000,10000 կմ,32000.0,2021.0,10000.0,Toyota,4.0
Arcfox Alpha T,2025,$ 15 100,5000 կմ,15100.0,2025.0,5000.0,Arcfox,0.0
BMW i4,2023,$ 33 000,16000 կմ,33000.0,2023.0,16000.0,BMW,2.0
Mercedes-Benz CLA 250,2018,$ 15 900,100000 կմ,15900.0,2018.0,100000.0,Mercedes-Benz,7.0
Kia Forte,2021,$ 12 200,110000 մղոն,12200.0,2021.0,110000.0,Kia,4.0
Mercedes-Benz E 300,2017,$ 23 500,240000 կմ,23500.0,2017.0,240000.0,Mercedes-Benz,8.0
Changan Nevo Q07,2025,$ 31 800,11000 կմ,31800.0,2025.0,11000.0,Changan,0.0
Mazda CX9,2021,$ 25 500,45000 մղոն,25500.0,2021.0,45000.0,Mazda,4.0
Changan Deepal L07,2025,$ 23 200,8700 կմ,23200.0,2025.0,8700.0,Changan,0.0
Lexus GX 470,2007,$ 25 000,175800 մղոն,25000.0,2007.0,175800.0,Lexus,18.0
Infiniti QX70,2016,$ 20 000,120000 կմ,20000.0,2016.0,120000.0,Infiniti,9.0
Changan Deepal S07,2025,$ 25 800,3400 կմ,25800.0,2025.0,3400.0,Changan,0.0
Nissan Rogue,2022,$ 19 500,19800 կմ,19500.0,2022.0,19800.0,Nissan,3.0
Mercedes-Benz AMG GT,2022,$ 138 000,18000 կմ,138000.0,2022.0,18000.0,Mercedes-Benz,3.0
Chevrolet Volt,2016,$ 9 500,135000 մղոն,9500.0,2016.0,135000.0,Chevrolet,9.0
Land Rover Discovery Sport,2017,$ 19 500,140000 կմ,19500.0,2017.0,140000.0,Land,8.0
Tesla Model S,2017,$ 13 700,161000 մղոն,13700.0,2017.0,161000.0,Tesla,8.0
Nissan Note,2018,$ 8 100,70000 կմ,8100.0,2018.0,70000.0,Nissan,7.0
Infiniti QX50,2019,$ 13 200,158000 մղոն,13200.0,2019.0,158000.0,Infiniti,6.0
Nissan Note,2017,$ 7 900,96000 կմ,7900.0,2017.0,96000.0,Nissan,8.0
Kia Stinger,2018,$ 20 000,44000 կմ,20000.0,2018.0,44000.0,Kia,7.0
Toyota Rav 4,2019,$ 22 900,80000 կմ,22900.0,2019.0,80000.0,Toyota,6.0
Hyundai Sonata,2016,$ 13 000,106000 կմ,13000.0,2016.0,106000.0,Hyundai,9.0
Mercedes-Benz GL 450,2013,$ 29 900,207000 կմ,29900.0,2013.0,207000.0,Mercedes-Benz,12.0
Hyundai Santa Fe,2014,$ 15 500,50000 մղոն,15500.0,2014.0,50000.0,Hyundai,11.0
Mercedes-Benz GLE 350,2018,$ 33 000,125000 կմ,33000.0,2018.0,125000.0,Mercedes-Benz,7.0
BMW 430,2018,$ 23 500,98000 կմ,23500.0,2018.0,98000.0,BMW,7.0
Kia Sorento,2023,$ 18 400,91000 մղոն,18400.0,2023.0,91000.0,Kia,2.0
VAZ (Lada) 2107,2011,$ 4 500,59000 կմ,4500.0,2011.0,59000.0,VAZ,14.0
Toyota 4-Runner,2003,$ 14 400,240000 մղոն,14400.0,2003.0,240000.0,Toyota,22.0
Mercedes-Benz A 170,2007,$ 4 500,140000 կմ,4500.0,2007.0,140000.0,Mercedes-Benz,18.0
Mitsubishi Colt,2002,$ 3 200,147000 կմ,3200.0,2002.0,147000.0,Mitsubishi,23.0
Opel Vectra B,1999,$ 3 500,350000 կմ,3500.0,1999.0,350000.0,Opel,26.0
Kia Optima,2018,$ 14 100,99000 կմ,14100.0,2018.0,99000.0,Kia,7.0
Hyundai Elantra,2018,$ 12 400,92000 կմ,12400.0,2018.0,92000.0,Hyundai,7.0
Hyundai Elantra,2020,$ 12 000,25000 կմ,12000.0,2020.0,25000.0,Hyundai,5.0
Kia Telluride,2019,$ 32 700,43000 մղոն,32700.0,2019.0,43000.0,Kia,6.0
Volkswagen Jetta,2009,$ 7 000,37000 կմ,7000.0,2009.0,37000.0,Volkswagen,16.0
Mercedes-Benz C 200,1995,$ 4 300,370000 կմ,4300.0,1995.0,370000.0,Mercedes-Benz,30.0
Jeep Compass,2019,$ 13 900,30577 կմ,13900.0,2019.0,30577.0,Jeep,6.0
Acura MDX,2013,$ 19 000,198000 կմ,19000.0,2013.0,198000.0,Acura,12.0
Volkswagen Passat CC,2011,$ 11 500,181000 կմ,11500.0,2011.0,181000.0,Volkswagen,14.0
Acura RDX,2020,$ 40 000,83000 կմ,40000.0,2020.0,83000.0,Acura,5.0
Ford Focus,2012,$ 5 800,156000 կմ,5800.0,2012.0,156000.0,Ford,13.0
Mercedes-Benz E 320,2003,$ 10 900,175450 կմ,10900.0,2003.0,175450.0,Mercedes-Benz,22.0
Lexus GX 470,2008,$ 22 900,120000 մղոն,22900.0,2008.0,120000.0,Lexus,17.0
Tesla Model S,2018,$ 17 500,162000 կմ,17500.0,2018.0,162000.0,Tesla,7.0
Mercedes-Benz G 63 AMG,2022,$ 200 000,18000 կմ,200000.0,2022.0,18000.0,Mercedes-Benz,3.0
Toyota Land Cruiser Prado,2005,$ 17 000,360000 կմ,17000.0,2005.0,360000.0,Toyota,20.0
Bentley Bentayga,2019,$ 125 000,93000 կմ,125000.0,2019.0,93000.0,Bentley,6.0
Land Rover Range Rover,2024,$ 195 000,9500 կմ,195000.0,2024.0,9500.0,Land,1.0
Toyota Camry,2018,$ 20 000,140000 կմ,20000.0,2018.0,140000.0,Toyota,7.0
Mercedes-Benz GL 500,2013,$ 22 800,240000 կմ,22800.0,2013.0,240000.0,Mercedes-Benz,12.0
Hyundai Elantra,2013,$ 8 700,149000 մղոն,8700.0,2013.0,149000.0,Hyundai,12.0
Hyundai Elantra,2021,$ 18 300,80000 կմ,18300.0,2021.0,80000.0,Hyundai,4.0
Toyota Prius,2014,$ 9 300,230000 կմ,9300.0,2014.0,230000.0,Toyota,11.0
Mercedes-Benz S 350,2010,$ 16 500,230000 կմ,16500.0,2010.0,230000.0,Mercedes-Benz,15.0
BMW X5,2006,$ 12 000,249000 կմ,12000.0,2006.0,249000.0,BMW,19.0
Mercedes-Benz G 500,2018,$ 86 000,119000 կմ,86000.0,2018.0,119000.0,Mercedes-Benz,7.0
Kia Forte,2023,$ 19 000,57000 մղոն,19000.0,2023.0,57000.0,Kia,2.0
Dodge Journey,2020,$ 13 500,120000 մղոն,13500.0,2020.0,120000.0,Dodge,5.0
Mercedes-Benz E 350,2020,$ 37 500,63000 կմ,37500.0,2020.0,63000.0,Mercedes-Benz,5.0
Chevrolet Cruze,2018,$ 8 500,150000 կմ,8500.0,2018.0,150000.0,Chevrolet,7.0
BMW M5,2006,$ 35 000,100000 կմ,35000.0,2006.0,100000.0,BMW,19.0
VAZ (Lada) NIVA Travel,2021,$ 12 000,55000 կմ,12000.0,2021.0,55000.0,VAZ,4.0
BMW i4,2024,$ 35 000,16000 կմ,35000.0,2024.0,16000.0,BMW,1.0
Mercedes-Benz GLE 53 AMG Coupe,2022,$ 79 000,30000 կմ,79000.0,2022.0,30000.0,Mercedes-Benz,3.0
Honda Accord,2023,$ 29 900,32000 կմ,29900.0,2023.0,32000.0,Honda,2.0
Tesla Model Y,2023,$ 17 000,37708 կմ,17000.0,2023.0,37708.0,Tesla,2.0
Honda Fit,2020,$ 15 500,36000 մղոն,15500.0,2020.0,36000.0,Honda,5.0
Land Rover Range Rover Sport,2022,$ 74 000,15000 մղոն,74000.0,2022.0,15000.0,Land,3.0
Lexus GX 460,2022,$ 65 000,29000 կմ,65000.0,2022.0,29000.0,Lexus,3.0
Kia Forte,2020,$ 14 700,99000 կմ,14700.0,2020.0,99000.0,Kia,5.0
Mercedes-Benz C 180,2002,$ 6 300,160000 կմ,6300.0,2002.0,160000.0,Mercedes-Benz,23.0
Mazda CX 30,2020,$ 17 700,45000 կմ,17700.0,2020.0,45000.0,Mazda,5.0
Ford Mustang,2020,$ 28 500,55000 մղոն,28500.0,2020.0,55000.0,Ford,5.0
Audi A4,2017,$ 19 000,100000 կմ,19000.0,2017.0,100000.0,Audi,8.0
Hyundai Elantra,2019,$ 6 800,68000 կմ,6800.0,2019.0,68000.0,Hyundai,6.0
Mercedes-Benz S 500,2014,$ 35 000,215000 կմ,35000.0,2014.0,215000.0,Mercedes-Benz,11.0
Kia Forte,2023,$ 19 500,26393 կմ,19500.0,2023.0,26393.0,Kia,2.0
Toyota Camry,2015,$ 20 100,207000 կմ,20100.0,2015.0,207000.0,Toyota,10.0
Lexus ES 250,2021,$ 41 000,26000 կմ,41000.0,2021.0,26000.0,Lexus,4.0
BYD Yuan Up,2025,$ 21 900,15 կմ,21900.0,2025.0,15.0,BYD,0.0
Kia Seltos,2022,$ 19 500,70000 կմ,19500.0,2022.0,70000.0,Kia,3.0
Aiqar eQ3,2024,$ 23 900,25 կմ,23900.0,2024.0,25.0,Aiqar,1.0
BYD E2,2025,$ 17 500,10 կմ,17500.0,2025.0,10.0,BYD,0.0
Kia Forte,2021,$ 15 500,57000 մղոն,15500.0,2021.0,57000.0,Kia,4.0
BYD Yuan Plus,2024,$ 23 500,20 կմ,23500.0,2024.0,20.0,BYD,1.0
Toyota Camry,2021,$ 32 000,54000 կմ,32000.0,2021.0,54000.0,Toyota,4.0
Toyota Rav 4,2020,$ 33 000,53000 կմ,33000.0,2020.0,53000.0,Toyota,5.0
Lexus ES 350,2022,$ 58 000,1500 կմ,58000.0,2022.0,1500.0,Lexus,3.0
Toyota Rav 4,2021,$ 33 000,15000 կմ,33000.0,2021.0,15000.0,Toyota,4.0
Cadillac XT4,2020,$ 25 000,44000 կմ,25000.0,2020.0,44000.0,Cadillac,5.0
Chevrolet Cruze,2016,$ 8 500,81000 կմ,8500.0,2016.0,81000.0,Chevrolet,9.0
Mercedes-Benz S 320,1999,$ 10 700,105000 կմ,10700.0,1999.0,105000.0,Mercedes-Benz,26.0
BMW X5,2012,$ 18 000,206000 կմ,18000.0,2012.0,206000.0,BMW,13.0
Acura MDX,2018,$ 27 400,57700 մղոն,27400.0,2018.0,57700.0,Acura,7.0
Ford Explorer,1998,֏ 1 750 000,232000 կմ,4375.0,1998.0,232000.0,Ford,27.0
Mercedes-Benz S 500,2014,$ 28 500,143000 կմ,28500.0,2014.0,143000.0,Mercedes-Benz,11.0
BMW 330,2018,$ 16 800,193000 կմ,16800.0,2018.0,193000.0,BMW,7.0
Lexus GX 470,2004,$ 19 000,289681 կմ,19000.0,2004.0,289681.0,Lexus,21.0
Volkswagen Tiguan,2008,$ 10 000,207000 կմ,10000.0,2008.0,207000.0,Volkswagen,17.0
Mercedes-Benz E 300,2017,$ 27 800,95000 կմ,27800.0,2017.0,95000.0,Mercedes-Benz,8.0
Volkswagen Jetta,2007,$ 6 000,299000 կմ,6000.0,2007.0,299000.0,Volkswagen,18.0
Volkswagen Passat,1997,$ 4 300,310000 կմ,4300.0,1997.0,310000.0,Volkswagen,28.0
Hyundai Veloster,2011,$ 8 500,160000 կմ,8500.0,2011.0,160000.0,Hyundai,14.0
Ford Explorer,2010,$ 13 400,130000 կմ,13400.0,2010.0,130000.0,Ford,15.0
Toyota Venza,2021,$ 35 000,13000 մղոն,35000.0,2021.0,13000.0,Toyota,4.0
Jeep Compass,2020,$ 15 000,65000 կմ,15000.0,2020.0,65000.0,Jeep,5.0
Jeep Compass,2020,$ 11 700,90000 կմ,11700.0,2020.0,90000.0,Jeep,5.0
Toyota Corolla,2008,$ 10 300,301000 կմ,10300.0,2008.0,301000.0,Toyota,17.0
Land Rover Range Rover,2019,$ 89 000,47000 կմ,89000.0,2019.0,47000.0,Land,6.0
Hyundai Elantra,2020,$ 11 800,72000 մղոն,11800.0,2020.0,72000.0,Hyundai,5.0
Mercedes-Benz C 240,2001,$ 6 300,180000 կմ,6300.0,2001.0,180000.0,Mercedes-Benz,24.0
BMW 330,2004,$ 8 500,138000 կմ,8500.0,2004.0,138000.0,BMW,21.0
Ford Edge,2020,$ 23 500,90000 կմ,23500.0,2020.0,90000.0,Ford,5.0
Opel Zafira,2003,$ 6 600,200000 կմ,6600.0,2003.0,200000.0,Opel,22.0
VAZ (Lada) 2107,2011,֏ 1 500 000,87000 կմ,3750.0,2011.0,87000.0,VAZ,14.0
Mercedes-Benz 180,1996,$ 4 800,300000 կմ,4800.0,1996.0,300000.0,Mercedes-Benz,29.0
Kia Forte,2022,$ 13 200,120000 կմ,13200.0,2022.0,120000.0,Kia,3.0
Toyota Corolla,2014,$ 14 800,112000 կմ,14800.0,2014.0,112000.0,Toyota,11.0
Chevrolet Volt,2013,$ 8 000,97000 մղոն,8000.0,2013.0,97000.0,Chevrolet,12.0
Nissan Sentra,2020,$ 12 400,49500 մղոն,12400.0,2020.0,49500.0,Nissan,5.0
Dodge Journey,2020,$ 12 500,126700 մղոն,12500.0,2020.0,126700.0,Dodge,5.0
BMW 750,2010,$ 14 000,185000 կմ,14000.0,2010.0,185000.0,BMW,15.0
